,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,Previous Week Quantity,Total Quantity_x,Previous Week Total Quantity_x,Total Quantity_y,Previous Week Total Quantity_y,UPC,Price Change %,modifiedUPC,Dollar Change
30367,3/7/2024 to 3/13/2024,UNCLE BENS GARDEN VEGTABLE 8.8 OZ,0005480003234,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30371,3/7/2024 to 3/13/2024,UNCLE BEN'S BROWN RICE 2 LBS,0005480012007,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30373,3/7/2024 to 3/13/2024,UNCLE BENS BUTTERY RICE 8.8 OZ,0005480008547,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30375,3/7/2024 to 3/13/2024,BENS  READY LONG GRAIN & WILD 8.8 OZ,0005480042331,ARROZ,3.0,2024-03-07,,3.0,,,774092.0,,774092.0,,,,,
30383,3/7/2024 to 3/13/2024,BENS READY WHOLE GRAIN BROWN 8.8 OZ,0005480042334,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
30387,3/7/2024 to 3/13/2024,BENS READY ORIG LONG GRAIN 8.8 OZ,0005480042333,ARROZ,7.0,2024-03-07,,7.0,,,774092.0,,774092.0,,,,,
30390,3/7/2024 to 3/13/2024,UNCLE BEN'S RICE CHEDDAR BROC 8.5 OZ,0005480042080,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30398,3/7/2024 to 3/13/2024,BENS R/R ROASTED CHICKE 8.8 OZ,0005480042330,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
30411,3/7/2024 to 3/13/2024,UNCLE BENS ORIGNAL LONG GRAIN 8.8 OZ,0005480003176,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30413,3/7/2024 to 3/13/2024,UNCLE BENS R/R ROASTED CHICKE 8.8 OZ,0005480003076,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
