,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,UPC,Price Change %,modifiedUPC,Dollar Change
226743,5/16/2024 to 5/22/2024,GOYA SARDINAS 15 OZ,0004133103616,MARISCOS/PESCADOS EN LATA,0.0,2024-05-16,,0.0,,,,,
226791,4/18/2024 to 4/24/2024,GOYA CALAMARES EN TINTA 4 OZ,0004133103632,MARISCOS/PESCADOS EN LATA,6.0,2024-04-18,5.0,4.5,-40.0,,,,
226795,5/16/2024 to 5/22/2024,GOYA CALAMARES EN TINTA 4 OZ,0004133103632,MARISCOS/PESCADOS EN LATA,5.0,2024-05-16,-0.375,4.0,-5.882352941176472,,,,
226831,4/25/2024 to 5/1/2024,GOYA PINK SALMON 14.75 OZ,0004133103664,MARISCOS/PESCADOS EN LATA,5.0,2024-04-25,-0.5833333333333333,16.5,-12.0,,,,
226867,4/4/2024 to 4/10/2024,GOYA HIMALAYA SAL ROSADA 23 OZ,0004133103707,SAL,52.0,2024-04-04,0.4444444444444444,53.75,-4.867256637168138,4133103707,0.0,0004133103707,0.0
226890,3/14/2024 to 3/20/2024,GOYA NACHO CHEESE ZESTY 15 OZ,0004133103714,QUESOS,3.0,2024-03-14,0.0,3.0,0.0,,,,
226892,3/28/2024 to 4/3/2024,GOYA NACHO CHEESE ZESTY 15 OZ,0004133103714,QUESOS,3.0,2024-03-28,-0.25,3.25,-2.500000000000002,,,,
226910,5/2/2024 to 5/8/2024,GOYA SAZONADOR TOTAL C/P 18 OZ,0004133103718,CONDIMENTOS,0.0,2024-05-02,,0.0,,,,,
226912,5/16/2024 to 5/22/2024,GOYA SAZONADOR TOTAL C/P 18 OZ,0004133103718,CONDIMENTOS,0.0,2024-05-16,,0.0,,,,,
226928,3/7/2024 to 3/13/2024,UA Item Imported on 1/8/2021,0004133103725,MMS Default Major Category,0.0,2024-03-07,,0.0,,,,,
227244,4/4/2024 to 4/10/2024,GOYA VINO COCINAR 25.4 OZ,0004133103808,VINO COCINAR,9.0,2024-04-04,3.5,5.25,-4.545454545454541,,,,
228031,5/23/2024 to 5/29/2024,GOYA PASTA SCE MEAT 12 OZ,0004133103898,SALSA PARA PASTAS,0.0,2024-05-23,,0.0,,,,,
230049,3/14/2024 to 3/20/2024,GOYA GANDULES 14 OZ,0004133109050,VEGETALES CONGELADOS,0.0,2024-03-14,,0.0,,,,,
230190,5/30/2024 to 6/5/2024,GOYA BROCCOLI FLORETS 16 OZ,0004133109067,VEGETALES CONGELADOS,15.0,2024-05-30,-0.6428571428571428,40.25,-12.5,,,,
230191,3/7/2024 to 3/13/2024,GOYA CROQUETAS DE JAMON  9.6 OZ,0004133109068,TOSTONES/MADUROS,4.0,2024-03-07,,4.0,,,,,
230194,3/28/2024 to 4/3/2024,GOYA CROQUETAS DE JAMON  9.6 OZ,0004133109068,TOSTONES/MADUROS,4.0,2024-03-28,-0.6,7.0,-12.5,,,,
230241,5/23/2024 to 5/29/2024,GOYA TOSTONES PARA RELLENAR 12 OZ,0004133109092,TOSTONES/MADUROS,7.0,2024-05-23,0.0,9.0,2.857142857142847,,,,
230308,3/7/2024 to 3/13/2024,GOYA PLATANOS MADUROS 40 OZ,0004133109101,TOSTONES/MADUROS,4.0,2024-03-07,,4.0,,,,,
230312,4/4/2024 to 4/10/2024,GOYA PLATANOS MADUROS 40 OZ,0004133109101,TOSTONES/MADUROS,12.0,2024-04-04,1.0,9.0,28.57142857142858,,,,
230313,4/11/2024 to 4/17/2024,GOYA PLATANOS MADUROS 40 OZ,0004133109101,TOSTONES/MADUROS,17.0,2024-04-11,0.41666666666666674,10.25,13.888888888888884,,,,
230352,4/11/2024 to 4/17/2024,GOYA MADUROS HORNEADOS ENTEROS 45 OZ,0004133109105,TOSTONES/MADUROS,4.0,2024-04-11,-0.75,8.75,-16.666666666666664,,,,
231665,4/11/2024 to 4/17/2024,GOYA JUGO PARCHA 9.6 OZ,0004133112735,NECTARES EN LATA/CARTON,15.0,2024-04-11,-0.34782608695652173,15.5,-16.216216216216218,,,,
231713,3/14/2024 to 3/20/2024,GOYA PAPAYA 9.6 OZ,0004133112744,NECTARES EN LATA/CARTON,27.0,2024-03-14,0.03846153846153855,26.5,1.9230769230769162,4133112744,0.0,0004133112744,0.0
231780,3/28/2024 to 4/3/2024,GOYA NECTAR GUANABANA 5 OZ,0004133112753,NECTARES EN LATA/CARTON,43.0,2024-03-28,-0.47560975609756095,61.75,-9.191176470588236,4133112753,0.0,0004133112753,0.0
